Subject_ID,Group,Label,Prediction,Relative_Power,Channel,Band
ACSub1,Control,0,0,0.4783811993559229,AF3,Delta
ACSub1,Control,0,0,0.4726334894882717,AF3,Delta
ACSub1,Control,0,0,0.4727328217820977,AF3,Delta
ACSub1,Control,0,0,0.586868346703607,AF3,Delta
ACSub1,Control,0,0,0.5646251937928524,AF3,Delta
ACSub1,Control,0,0,0.4834649829668647,AF3,Delta
ACSub1,Control,0,0,0.34968738577854785,AF3,Delta
ACSub1,Control,0,0,0.5359617716951146,AF3,Delta
ACSub1,Control,0,0,0.6829969032171989,AF3,Delta
ACSub1,Control,0,0,0.6541655596401752,AF3,Delta
ACSub1,Control,0,0,0.5095539186575938,AF3,Delta
ACSub1,Control,0,0,0.5214001710323315,AF3,Delta
ACSub1,Control,0,0,0.5181884256736045,AF3,Delta
ACSub1,Control,0,0,0.4776947051389393,AF3,Delta
ACSub1,Control,0,0,0.45578273627578,AF3,Delta
ACSub1,Control,0,0,0.4755868983460319,AF3,Delta
ACSub1,Control,0,0,0.6010304268395449,AF3,Delta
ACSub1,Control,0,0,0.35242413896740216,AF3,Delta
ACSub1,Control,0,0,0.3203410913246382,AF3,Delta
ACSub1,Control,0,0,0.5254503519546414,AF3,Delta
ACSub1,Control,0,0,0.5258288957462333,AF3,Delta
ACSub1,Control,0,0,0.3331022662849688,AF3,Delta
ACSub1,Control,0,0,0.44175623991681956,AF3,Delta
ACSub1,Control,0,0,0.4006666991695729,AF3,Delta
ACSub1,Control,0,0,0.488358067846368,AF3,Delta
ACSub1,Control,0,0,0.4903763676477796,AF3,Delta
ACSub1,Control,0,0,0.4050734911941159,AF3,Delta
ACSub1,Control,0,0,0.5727571195089993,AF3,Delta
ACSub1,Control,0,0,0.5750694447462918,AF3,Delta
ACSub1,Control,0,0,0.5278573487238452,AF3,Delta
ACSub1,Control,0,0,0.5485811091203363,AF3,Delta
ACSub1,Control,0,0,0.701867798888758,AF3,Delta
ACSub1,Control,0,0,0.5168984108991156,AF3,Delta
ACSub1,Control,0,0,0.40456126308223955,AF3,Delta
ACSub1,Control,0,0,0.5055355792622764,AF3,Delta
ACSub1,Control,0,0,0.6094165363687506,AF3,Delta
ACSub1,Control,0,0,0.46933938482923665,AF3,Delta
ACSub1,Control,0,0,0.4309719610772005,AF3,Delta
ACSub1,Control,0,0,0.3839122652359128,AF3,Delta
ACSub1,Control,0,0,0.3960248856055896,AF3,Delta
ACSub1,Control,0,0,0.5397069396616209,AF3,Delta
ACSub1,Control,0,0,0.5988766375196769,AF3,Delta
ACSub1,Control,0,0,0.576867210213261,AF3,Delta
ACSub1,Control,0,0,0.6092751433920923,AF3,Delta
ACSub1,Control,0,0,0.632444438135177,AF3,Delta
ACSub1,Control,0,0,0.6896085042617631,AF3,Delta
